"crop","variety","variety_harmonized"
"teff","14",""
"teff","15",""
"teff","16",""
"teff","17",""
"teff","18",""
"teff","19",""
"teff","2",""
"teff","20",""
"teff","21",""
"teff","22",""
"teff","23",""
"teff","24",""
"teff","25",""
"teff","26",""
"teff","27",""
"teff","28",""
"teff","29",""
"teff","3",""
"teff","30",""
"teff","31",""
"teff","32",""
"teff","33",""
"teff","34",""
"teff","35",""
"teff","4",""
"teff","5",""
"teff","6",""
"teff","7",""
"teff","8",""
"teff","9",""
"teff","abola",""
"teff","amarach",""
"teff","amarech",""
"teff","asgori",""
"teff","avola",""
"teff","bosat",""
"teff","boset",""
"teff","boset
",""
"teff","bosset",""
"teff","cr - 37",""
"teff","cr - 387",""
"teff","cr -387",""
"teff","cr- 37",""
"teff","cr-37",""
"teff","cr-387",""
"teff","cross 37",""
"teff","cross37",""
"teff","dagem",""
"teff","dagem
",""
"teff","dagim",""
"teff","dagm",""
"teff","dega tef",""
"teff","dega tef ",""
"teff","dega-tef",""
"teff","degatef",""
"teff","degim",""
"teff","dima",""
"teff","dukem",""
"teff","dursi",""
"teff","dursi
",""
"teff","dz-01-99",""
"teff","dz-cr-44",""
"teff","enatit",""
"teff","estub",""
"teff","etsub",""
"teff","felagot",""
"teff","filagot",""
"teff","flagot",""
"teff","gemechis",""
"teff","genete",""
"teff","gerado",""
"teff","gibe",""
"teff","gimbicho",""
"teff","gimbichu",""
"teff","gimbichu
",""
"teff","gimbichu ",""
"teff","gola",""
"teff","gudure",""
"teff","guduru",""
"teff","guduru
",""
"teff","gumaide",""
"teff","hibir",""
"teff","kena",""
"teff","kena
",""
"teff","key tena",""
"teff","key tena ",""
"teff","key_tena",""
"teff","koba",""
"teff","kora",""
"teff","kora ",""
"teff","korra",""
"teff","korra
",""
"teff","koye",""
"teff","kuncho",""
"teff","kuncho
",""
"teff","kunicho",""
"teff","lakech",""
"teff","local",""
"teff","local (sayee)",""
"teff","local (sergegna)",""
"teff","magna",""
"teff","magna
",""
"teff","magna ",""
"teff","mechare",""
"teff","mecharie",""
"teff","melko",""
"teff","menagesha",""
"teff","negus",""
"teff","negus ",""
"teff","nigus",""
"teff","nigusu",""
"teff","nugusu",""
"teff","nugusu
",""
"teff","quncho",""
"teff","simada",""
