"","trial","crop","planting_date_avg","planting_date_min","planting_date_max"
"59","2018_oe_meta_haricotbean","commonbean",2010-09-14,2010-01-11,2010-12-11
"60","2018_oe_meta_haricotbean","haricotbean",2010-09-14,2010-01-11,2010-12-11
"61","2018_oe_meta_walensu_maize","maize",2010-10-24,2010-10-20,2010-10-29
"62","2018_oe_oda_bultum_chickpea","chickpea",2010-10-24,2010-01-13,2011-10-01
"63","2018_orosw_bojichekorsa_haricotbean","commonbean",2018-08-11,2018-08-09,2018-08-16
"64","2018_orosw_bojichekorsa_haricotbean","haricotbean",2018-08-11,2018-08-09,2018-08-16
"65","2018_orosw_bojichekorsa_tef","teff",2018-08-18,2018-08-18,2018-08-18
"66","2018_orosw_bojisayo_fingermillet","fingermillet",2018-08-19,2018-08-11,2018-09-05
"67","2018_orosw_bore_wheat","breadwheat",NaN,Inf,-Inf
"68","2018_orosw_boset_tef","teff",2018-07-17,2018-06-14,2018-07-29
"69","2018_orosw_dugda_chickpea","chickpea",2018-08-07,2018-07-03,2018-08-30
"70","2018_orosw_dugda_foodbarley","barley",2018-06-21,2018-03-20,2018-07-24
"71","2018_orosw_goro_chickpea","chickpea",2018-08-13,2018-07-03,2018-08-30
"72","2018_orosw_gorobale_blackcumin","blackcumin",2018-09-18,2018-09-08,2018-09-27
"73","2018_orosw_gorobale_chickpea","chickpea",2018-09-19,2018-09-17,2018-09-23
"74","2018_orosw_gorobale_tef","teff",2018-09-28,2018-09-10,2018-10-23
"75","2018_orosw_lome_fababean","fababean",2018-06-07,2011-06-20,2018-07-24
"76","2018_orosw_sayo_breadwheat","breadwheat",2018-09-03,2018-08-05,2018-09-09
"77","2018_orosw_sayo_foodbarley","barley",2018-09-18,2018-09-18,2018-09-18
"78","2018_orosw_sinana_fababean","fababean",2018-08-19,2018-08-03,2018-08-30
"79","2018_orosw_sinana_fieldpea","fieldpea",2018-08-23,2018-08-14,2018-08-30
"80","2018_orosw_sinana_foodbarley","barley",2018-08-04,2018-07-15,2018-08-28
"81","2018_orosw_sire_barley","barley",2018-05-23,2011-06-20,2018-07-24
"82","2018_orosw_tole_fababean","fababean",2018-06-10,2018-02-11,2018-06-30
"83","2018_orosw_tole_lentil","lentil",2018-09-13,2018-09-04,2018-09-20
"84","2018_osw_boset_haricotbean","commonbean",2018-03-22,2011-06-01,2018-06-30
"85","2018_osw_boset_haricotbean","haricotbean",2018-03-22,2011-06-01,2018-06-30
"86","2018_osw_boset_sorghum","sorghum",2018-06-21,2018-05-07,2018-07-31
"87","2018_snnp_chena_barley","barley",2010-12-10,2010-12-08,2010-12-13
"88","2018_snnp_dalocha_wheat","breadwheat",2010-12-04,2010-11-26,2011-11-26
"89","2018_snnp_damotgale_adedamot_hbean","commonbean",2010-12-22,2010-12-13,2010-12-29
"90","2018_snnp_damotgale_adedamot_hbean","haricotbean",2010-12-22,2010-12-13,2010-12-29
"91","2018_snnp_damotgale_adekoyisha_haricotbean","commonbean",2010-12-22,2010-12-14,2010-12-29
"92","2018_snnp_damotgale_adekoyisha_haricotbean","haricotbean",2010-12-22,2010-12-14,2010-12-29
"93","2018_snnp_damotgale_buge_tef","teff",2010-12-01,2010-02-17,2010-12-30
"94","2018_snnp_damotgale_gacheno_tef","teff",2010-12-26,2010-12-22,2011-01-03
"95","2018_snnp_halaba_fingermillet","fingermillet",2010-09-09,2010-09-03,2010-09-14
"96","2018_snnp_humbo_haricotbean","haricotbean",2010-08-17,2010-08-14,2010-08-19
"97","2018_snnp_lemo_tef","teff",2010-12-05,2010-11-30,2010-12-10
"98","2018_snnp_lemo_wheat","breadwheat",2010-11-26,2010-11-14,2011-11-20
"99","2018_snnp_lemo_wheat","durumwheat",2010-11-26,2010-11-14,2011-11-20
"100","2018_snnp_lemo_wheat","wheat",2010-11-26,2010-11-14,2011-11-20
"101","2018_snnpr_chena_fababean","fababean",2010-12-10,2010-12-07,2010-12-13
"102","2018_snnpr_derashe_sorghum","sorghum",2010-07-04,2010-06-13,2010-07-21
"103","2018_snnpr_kedidagamela_haricotbean","haricotbean",2010-07-14,2010-07-06,2010-07-27
"104","2018_snnpr_kedidagamela_haricotbean","commonbean",2010-07-14,2010-07-06,2010-07-27
"105","2019_ade_sibaye_tef","teff",2011-12-23,2011-12-21,2011-12-27
"106","2019_amh_dabat_barley","barley",2011-07-05,2011-01-11,2011-11-11
"107","2019_amh_dabat_fababean","fababean",2011-10-10,2011-10-10,2011-10-10
"108","2019_amh_dejen_barley","barley",2022-08-10,2012-11-03,2028-10-11
"109","2019_amh_dera_fingermillet2","fingermillet",2011-04-16,2011-03-11,2011-10-26
"110","2019_amh_dera_fmillet","fingermillet",2011-04-16,2011-03-11,2011-10-26
"111","2019_amh_fagita_fmillet","fingermillet",2011-10-22,2011-10-14,2011-11-01
