,trial,crop,planting_date_avg,New edited date,planting_date_min,planting_date_min-edited,planting_date_max,planting_date_max-edited
72,2018_orosw_gorobale_blackcumin,blackcumin,18/09/2018,18/09/2018,08/09/2018,08/09/2018,27/09/2018,27/09/2018
73,2018_orosw_gorobale_chickpea,chickpea,19/09/2018,19/09/2018,17/09/2018,17/09/2018,23/09/2018,23/09/2018
74,2018_orosw_gorobale_tef,teff,28/09/2018,28/09/2018,10/09/2018,10/09/2018,23/10/2018,23/10/2018
75,2018_orosw_lome_fababean,fababean,27/06/2018,27/06/2018,20/06/2011,20/06/2018,24/07/2018,24/07/2018
76,2018_orosw_sayo_breadwheat,breadwheat,03/09/2018,03/09/2018,05/08/2018,05/08/2018,09/09/2018,09/09/2018
77,2018_orosw_sayo_foodbarley,barley,18/09/2018,18/09/2018,18/09/2018,18/09/2018,18/09/2018,18/09/2018
78,2018_orosw_sinana_fababean,fababean,19/08/2018,19/08/2018,03/08/2018,03/08/2018,30/08/2018,30/08/2018
79,2018_orosw_sinana_fieldpea,fieldpea,23/08/2018,23/08/2018,14/08/2018,14/08/2018,30/08/2018,30/08/2018
80,2018_orosw_sinana_foodbarley,barley,04/08/2018,04/08/2018,15/07/2018,15/07/2018,28/08/2018,28/08/2018
81,2018_orosw_sire_barley,barley,23/06/2018,23/06/2018,20/06/2011,20/06/2018,24/07/2018,24/07/2018
82,2018_orosw_tole_fababean,fababean,10/06/2018,10/06/2018,11/02/2018,01/06/2018,30/06/2018,30/06/2018
83,2018_orosw_tole_lentil,lentil,13/09/2018,13/09/2018,04/09/2018,04/09/2018,20/09/2018,20/09/2018
84,2018_osw_boset_haricotbean,commonbean,22/06/2018,22/06/2018,01/06/2011,01/06/2018,30/06/2018,30/06/2018
85,2018_osw_boset_haricotbean,haricotbean,22/03/2018,22/06/2018,01/06/2011,01/06/2018,30/06/2018,30/06/2018
86,2018_osw_boset_sorghum,sorghum,21/06/2018,21/06/2018,07/05/2018,07/05/2018,31/07/2018,31/07/2018
87,2018_snnp_chena_barley,barley,10/12/2010,16/08/2018,08/12/2010,14/08/2018,13/12/2010,19/08/2018
88,2018_snnp_dalocha_wheat,breadwheat,04/12/2010,10/08/2018,26/11/2010,02/08/2018,06/12/2010,12/08/2018
89,2018_snnp_damotgale_adedamot_hbean,commonbean,22/12/2010,28/08/2018,13/12/2010,19/08/2018,29/12/2010,04/09/2018
90,2018_snnp_damotgale_adedamot_hbean,haricotbean,22/12/2010,28/08/2018,13/12/2010,19/08/2018,29/12/2010,04/09/2018
91,2018_snnp_damotgale_adekoyisha_haricotbean,commonbean,22/12/2010,28/08/2018,14/12/2010,20/08/2018,29/12/2010,04/09/2018
92,2018_snnp_damotgale_adekoyisha_haricotbean,haricotbean,22/12/2010,28/08/2018,14/12/2010,20/08/2018,29/12/2010,04/09/2018
93,2018_snnp_damotgale_buge_tef,teff,21/12/2010,27/08/2018,17/12/2010,23/08/2018,30/12/2010,05/09/2018
94,2018_snnp_damotgale_gacheno_tef,teff,26/12/2010,01/09/2018,22/12/2010,28/08/2018,03/01/2011,13/09/2018
95,2018_snnp_halaba_fingermillet,fingermillet,09/09/2010,17/05/2018,03/09/2010,11/05/2018,14/09/2010,22/05/2018
96,2018_snnp_humbo_haricotbean,haricotbean,17/08/2010,25/04/2018,14/08/2010,22/04/2018,19/08/2010,27/04/2018
97,2018_snnp_lemo_tef,teff,05/12/2010,11/08/2018,30/11/2010,06/08/2018,10/12/2010,16/08/2018
98,2018_snnp_lemo_wheat,breadwheat,26/11/2010,02/08/2018,14/11/2010,21/07/2018,29/11/2010,05/08/2018
99,2018_snnp_lemo_wheat,durumwheat,26/11/2010,02/08/2018,14/11/2010,21/07/2018,29/11/2010,05/08/2018
100,2018_snnp_lemo_wheat,wheat,26/11/2010,02/08/2018,14/11/2010,21/07/2018,29/11/2010,05/08/2018
101,2018_snnpr_chena_fababean,fababean,10/12/2010,16/08/2018,07/12/2010,13/08/2018,13/12/2010,19/08/2018
102,2018_snnpr_derashe_sorghum,sorghum,04/07/2010,13/03/2018,13/06/2010,20/02/2018,21/07/2010,30/03/2018
103,2018_snnpr_kedidagamela_haricotbean,haricotbean,14/07/2010,23/03/2018,06/07/2010,15/03/2018,27/07/2010,05/04/2018
104,2018_snnpr_kedidagamela_haricotbean,commonbean,14/07/2010,23/03/2018,06/07/2010,15/03/2018,27/07/2010,05/04/2018
105,2019_ade_sibaye_tef,teff,23/12/2011,29/08/2019,21/12/2011,27/08/2019,27/12/2011,02/09/2019
106,2019_amh_dabat_barley,barley,05/11/2011,12/07/2019,01/11/2011,08/07/2019,11/11/2011,18/07/2019
107,2019_amh_dabat_fababean,fababean,10/10/2011,17/06/2019,10/10/2011,17/06/2019,10/10/2011,17/06/2019
108,2019_amh_dejen_barley,barley,08/10/2011,15/06/2019,03/10/2011,10/06/2019,11/10/2011,18/06/2019
109,2019_amh_dera_fingermillet2,fingermillet,16/10/2011,23/06/2019,03/10/2011,10/06/2019,26/10/2011,03/07/2019
110,2019_amh_dera_fmillet,fingermillet,16/10/2011,23/06/2019,03/10/2011,10/06/2019,26/10/2011,03/07/2019
111,2019_amh_fagita_fmillet,fingermillet,22/10/2011,29/06/2019,14/10/2011,21/06/2019,01/11/2011,08/07/2019
112,2019_amh_fagita_tef,teff,23/10/2011,30/06/2019,18/10/2011,25/06/2019,28/10/2011,05/07/2019
113,2019_amh_gonchasiso_tef,teff,17/11/2011,24/07/2019,01/11/2011,08/07/2019,30-Nov,06/08/2019
114,2019_amh_gonchasiso_wheat,breadwheat,11/11/2011,18/07/2019,01/11/2011,08/07/2019,25/11/2011,01/08/2019
115,2019_amh_habru_k34_tef,teff,06/08/2019,06/08/2019,05/08/2019,05/08/2019,08/08/2019,08/08/2019
116,2019_amh_harbu_k35_tef,teff,09/08/2019,09/08/2019,01/08/2019,01/08/2019,24/08/2019,24/08/2019
117,2019_amh_meket_barley,barley,NaN,24/06/2019,Inf,20/06/2019,#NAME?,27/06/2019
118,2019_amh_meket_wheat,breadwheat,18/10/2011,25/06/2019,11/10/2011,18/06/2019,28/10/2011,05/07/2019
119,2019_amh_meket_wheat,durumwheat,18/10/2011,25/06/2019,11/10/2011,18/06/2019,28/10/2011,05/07/2019
120,2019_amh_nachefer_ambeshen_tef,teff,NaN,23/07/2019,Inf,09/07/2019,#NAME?,06/08/2019
121,2019_amh_nachefer_libendankura_tef,teff,NaN,27/06/2019,Inf,23/06/2019,#NAME?,27/06/2019
122,2019_amh_nachefer_senkor_tef,teff,07/10/2011,14/06/2019,03/10/2011,10/06/2019,11/11/2011,18/07/2019
123,2019_amh_nachefer_tef,teff,07/10/2011,14/06/2019,02/10/2011,09/06/2019,11/11/2011,18/07/2019
124,2019_amhara_metema_sesame,sesame,08/07/2011,17/03/2019,01/07/2011,10/03/2019,11/07/2011,20/03/2019
125,2019_amhara_metema_soyabean2,soybean,04/11/2011,11/07/2019,01/11/2011,08/07/2019,11/11/2011,18/07/2019
126,2019_amhara_na_senkor_tef,teff,07/11/2011,14/07/2019,03/11/2011,10/07/2019,11/11/2011,18/07/2019
127,2019_dalocha_gk_tef,teff,14/11/2011,21/07/2019,12/11/2011,19/07/2019,18/11/2011,25/07/2019
128,2019_harobulluk_wheat,breadwheat,25/07/2019,25/07/2019,17/07/2019,17/07/2019,04/08/2019,04/08/2019
129,2019_humbo_abella_hbean,haricotbean,17/06/2011,24/02/2019,12/05/2011,20/01/2019,11/08/2011,19/04/2019
130,2019_humbo_abella_hbean,commonbean,17/06/2011,24/02/2019,12/05/2011,20/01/2019,11/08/2011,19/04/2019
131,2019_humbo_koisha_hbean,commonbean,NaN,25/04/2019,Inf,23/04/2019,#NAME?,30/04/2019
132,2019_humbo_koisha_hbean,haricotbean,NaN,25/04/2019,Inf,23/04/2019,#NAME?,30/04/2019
133,2019_kedidagamela_haricotbean,haricotbean,23/08/2011,01/05/2019,11/08/2011,19/04/2019,28/11/2011,04/08/2019
134,2019_kedidagamela_haricotbean,commonbean,23/08/2011,01/05/2019,11/08/2011,19/04/2019,28/11/2011,04/08/2019
135,2019_oe_chiro_haricotbean,haricotbean,08/11/2011,15/07/2019,01/11/2011,08/07/2019,11/12/2011,17/08/2019
136,2019_oe_chiro_haricotbean,commonbean,08/11/2011,15/07/2019,01/11/2011,08/07/2019,11/12/2011,17/08/2019
137,2019_oe_chiro_sorghum,sorghum,17/11/2011,24/07/2019,10/11/2011,17/07/2019,10/12/2011,16/08/2019
138,2019_oe_chiro_tef,teff,01/12/2011,07/08/2019,01/12/2011,07/08/2019,01/12/2011,07/08/2019
139,2019_oe_doba_haricotbean,commonbean,14/11/2011,21/07/2019,04/11/2011,11/07/2019,29/11/2011,05/08/2019
140,2019_oe_doba_haricotbean,haricotbean,14/11/2011,21/07/2019,04/11/2011,11/07/2019,29/11/2011,05/08/2019
141,2019_oe_doba_maize1,maize,28/09/2011,05/06/2019,13/09/2011,21/05/2019,30/10/2011,07/07/2019
142,2019_oe_doba_wheat,breadwheat,18/11/2011,25/07/2019,02/11/2011,09/07/2019,30/11/2011,06/08/2019
143,2019_oe_doba_wheat,durumwheat,18/11/2011,25/07/2019,02/11/2011,09/07/2019,30/11/2011,06/08/2019
144,2019_oe_girawa_fababean,fababean,12/05/2011,20/01/2019,12/05/2011,20/01/2019,12/05/2011,20/01/2019
145,2019_oe_girawa_sorghum,sorghum,NaN,04/07/2019,Inf,20/06/2019,#NAME?,13/08/2019
146,2019_oe_girawa_tef,teff,NaN,24/08/2019,Inf,19/08/2019,#NAME?,28/08/2019
147,2019_oe_jarso_maize,maize,14/09/2011,22/05/2019,05/09/2011,13/05/2019,22/09/2011,30/05/2019
148,2019_oe_jarso_wheat,breadwheat,25/11/2011,01/08/2019,02/11/2011,09/07/2019,11/12/2011,17/08/2019
149,2019_oe_jarso_wheat,durumwheat,25/11/2011,01/08/2019,02/11/2011,09/07/2019,11/12/2011,17/08/2019
150,2019_oe_kersa_fababean,fababean,03/12/2011,09/08/2019,03/12/2011,09/08/2019,03/12/2011,09/08/2019
151,2019_oe_kurfa_chale_maize,maize,22/09/2011,30/05/2019,15/09/2011,23/05/2019,10/10/2011,17/06/2019
152,2019_oe_kurfa_chale_wheat,breadwheat,08/12/2011,14/08/2019,23/11/2011,30/07/2019,21/12/2011,27/08/2019
153,2019_oe_meta_haricotbean,commonbean,14/11/2011,21/07/2019,09/11/2011,16/07/2019,25/11/2011,01/08/2019
154,2019_oe_meta_haricotbean,haricotbean,14/11/2011,21/07/2019,09/11/2011,16/07/2019,25/11/2011,01/08/2019
155,2019_oe_meta_sorghum,sorghum,23/09/2011,31/05/2019,28/08/2011,06/05/2019,23/11/2011,30/07/2019
156,2019_oe_meta_tef,teff,16/12/2011,22/08/2019,12/12/2011,18/08/2019,21/12/2011,27/08/2019
157,2019_oe_meta_wheat,breadwheat,20/11/2011,27/07/2019,17/11/2011,24/07/2019,25/11/2011,01/08/2019
158,2019_oe_meta_wheat,durumwheat,20/11/2011,27/07/2019,17/11/2011,24/07/2019,25/11/2011,01/08/2019
159,2019_oeast_chiro_maize1,maize,NaN,02/06/2019,Inf,20/05/2019,#NAME?,02/07/2019
160,2019_oromiasw_gudeyabilla_wheat,breadwheat,23/07/2019,23/07/2019,14/07/2019,14/07/2019,04/08/2019,04/08/2019
161,2019_osw_balegoro_chickpea,chickpea,NaN,01/10/2019,Inf,20/09/2019,#NAME?,04/11/2019
162,2019_osw_balegoro_tef,teff,NaN,02/10/2019,Inf,16/09/2019,#NAME?,26/10/2019
163,2019_osw_bore_fababean,fababean,20/11/2011,27/07/2019,14/11/2011,21/07/2019,28/11/2011,04/08/2019
164,2019_osw_bore_foodbarley,barley,20/11/2011,27/07/2019,18/11/2011,25/07/2019,25/11/2011,01/08/2019
